PassengerId,Survived,Pclass,Sex,Embarked,FamilySize,isAlone,CategoricalFare,CategoricalAge,PassengerTitle
170,0,3,1,3,1,True,2,3,3
171,0,1,1,3,1,True,2,4,3
172,0,3,1,2,6,False,4,5,1
173,1,3,0,3,3,False,3,5,2
174,0,3,1,3,1,True,3,1,3
175,0,1,1,1,1,True,4,4,3
176,0,3,1,3,3,False,1,5,3
177,0,3,1,3,5,False,4,1,1
178,0,1,0,1,1,True,4,4,2
179,0,2,1,3,1,True,3,2,3
180,0,3,1,3,1,True,1,2,3
181,0,3,0,3,11,False,2,1,2
182,0,2,1,1,1,True,4,1,3
183,0,3,1,3,7,False,2,5,1
184,1,2,1,3,4,False,2,5,1
185,1,3,0,3,3,False,4,5,2
186,0,1,1,3,1,True,2,1,3
187,1,3,0,2,2,False,4,1,4
188,1,1,1,3,1,True,4,4,3
189,0,3,1,2,3,False,4,4,3
190,0,3,1,3,1,True,1,2,3
191,1,2,0,3,1,True,3,2,4
192,0,2,1,3,1,True,3,5,3
193,1,3,0,3,2,False,1,5,2
194,1,2,1,3,3,False,4,5,1
195,1,1,0,1,1,True,4,4,4
196,1,1,0,1,1,True,2,4,2
197,0,3,1,2,1,True,1,1,3
198,0,3,1,3,2,False,3,4,3
199,1,3,0,2,1,True,1,1,2
200,0,2,0,3,1,True,3,3,2
201,0,3,1,3,1,True,3,3,3
202,0,3,1,3,11,False,2,1,3
203,0,3,1,3,1,True,1,2,3
204,0,3,1,1,1,True,1,4,3
205,1,3,1,3,1,True,3,5,3
206,0,3,0,3,2,False,3,5,2
207,0,3,1,3,2,False,4,2,3
208,1,3,1,1,1,True,4,3,3
209,1,3,0,2,1,True,1,5,2
210,1,1,1,1,1,True,4,4,3
211,0,3,1,3,1,True,1,3,3
212,1,2,0,3,1,True,4,2,2
213,0,3,1,3,1,True,1,1,3
214,0,2,1,3,1,True,3,2,3
215,0,3,1,2,2,False,1,1,3
216,1,1,0,1,2,False,2,2,2
217,1,3,0,3,1,True,3,3,2
218,0,2,1,3,2,False,4,4,3
219,1,1,0,1,1,True,2,2,2
220,0,2,1,3,1,True,3,2,3
221,1,3,1,3,1,True,3,5,3
222,0,2,1,3,1,True,3,3,3
223,0,3,1,3,1,True,3,4,3
224,0,3,1,3,1,True,1,1,3
225,1,1,1,3,2,False,2,2,3
226,0,3,1,3,1,True,3,1,3
227,1,2,1,3,1,True,3,5,3
228,0,3,1,3,1,True,1,1,3
229,0,2,1,3,1,True,3,5,3
230,0,3,0,3,5,False,4,1,2
231,1,1,0,3,2,False,2,2,4
232,0,3,1,3,1,True,1,2,3
233,0,2,1,3,1,True,3,4,3
234,1,3,0,3,7,False,2,5,2
235,0,2,1,3,1,True,3,3,3
236,0,3,0,3,1,True,1,1,2
237,0,2,1,3,2,False,4,4,3
238,1,2,0,3,3,False,4,5,2
239,0,2,1,3,1,True,3,5,3
240,0,2,1,3,1,True,3,2,3
241,0,3,0,1,2,False,3,1,2
242,1,3,0,2,2,False,4,1,2
243,0,2,1,3,1,True,3,2,3
244,0,3,1,3,1,True,1,1,3
245,0,3,1,1,1,True,1,2,3
246,0,1,1,2,3,False,2,4,5
247,0,3,0,3,1,True,1,3,2
248,1,2,0,3,3,False,4,3,4
249,1,1,1,3,3,False,2,2,3
250,0,2,1,3,2,False,4,4,5
251,0,3,1,3,1,True,1,1,3
252,0,3,0,3,3,False,3,2,4
253,0,1,1,3,1,True,4,4,3
254,0,3,1,3,2,False,4,2,3
255,0,3,0,3,3,False,4,4,4
256,1,3,0,1,3,False,4,2,4
257,1,1,0,1,1,True,2,1,4
258,1,1,0,3,1,True,2,2,2
259,1,1,0,1,1,True,2,2,2
260,1,2,0,3,2,False,4,4,4
261,0,3,1,2,1,True,1,1,3
262,1,3,1,3,7,False,2,5,1
263,0,1,1,3,3,False,2,4,3
264,0,1,1,3,1,True,1,4,3
265,0,3,0,2,1,True,1,1,2
266,0,2,1,3,1,True,3,2,3
267,0,3,1,3,6,False,2,5,3
268,1,3,1,3,2,False,1,3,3
269,1,1,0,3,2,False,2,4,4
270,1,1,0,3,1,True,2,2,2
271,0,1,1,3,1,True,4,1,3
272,1,3,1,3,1,True,1,3,3
273,1,2,0,3,2,False,4,4,4
274,0,1,1,1,2,False,4,2,3
275,1,3,0,2,1,True,1,1,2
276,1,1,0,3,2,False,2,4,2
277,0,3,0,3,1,True,1,4,2
278,0,2,1,3,1,True,1,1,3
279,0,3,1,2,6,False,4,5,1
280,1,3,0,3,3,False,4,2,4
281,0,3,1,2,1,True,1,4,3
282,0,3,1,3,1,True,1,3,3
283,0,3,1,3,1,True,3,5,3
284,1,3,1,3,1,True,3,5,3
285,0,1,1,3,1,True,4,1,3
286,0,3,1,1,1,True,3,2,3
287,1,3,1,3,1,True,3,2,3
288,0,3,1,3,1,True,1,1,3
289,1,2,1,3,1,True,3,4,3
290,1,3,0,2,1,True,1,1,2
291,1,1,0,3,1,True,2,3,2
292,1,1,0,1,2,False,2,5,4
293,0,2,1,1,1,True,3,2,3
294,0,3,0,3,1,True,3,3,2
295,0,3,1,3,1,True,1,3,3
296,0,1,1,1,1,True,4,1,3
297,0,3,1,1,1,True,1,3,3
298,0,1,0,3,4,False,2,5,2
299,1,1,1,3,1,True,4,1,3
300,1,1,0,1,2,False,2,4,4
301,1,3,0,2,1,True,1,1,2
302,1,3,1,2,3,False,4,1,3
303,0,3,1,3,1,True,1,5,3
304,1,2,0,2,1,True,3,1,2
305,0,3,1,3,1,True,3,1,3
306,1,1,1,3,4,False,2,5,1
307,1,1,0,1,1,True,2,1,2
308,1,1,0,1,2,False,2,5,4
309,0,2,1,1,2,False,4,2,3
310,1,1,0,1,1,True,2,2,2
311,1,1,0,1,1,True,2,3,2
312,1,1,0,1,5,False,2,5,2
313,0,2,0,3,3,False,4,3,4
314,0,3,1,3,1,True,1,3,3
315,0,2,1,3,3,False,4,4,3
316,1,3,0,3,1,True,1,3,2
317,1,2,0,3,2,False,4,3,4
318,0,2,1,3,1,True,3,4,5
319,1,1,0,3,3,False,2,2,2
320,1,1,0,1,3,False,2,4,4
321,0,3,1,3,1,True,1,1,3
322,0,3,1,3,1,True,1,3,3
323,1,2,0,2,1,True,3,2,2
324,1,2,0,3,3,False,4,1,4
325,0,3,1,3,11,False,2,1,3
326,1,1,0,1,1,True,2,2,2
327,0,3,1,3,1,True,1,4,3
328,1,2,0,3,1,True,3,2,4
329,1,3,0,3,3,False,4,2,4
330,1,1,0,1,2,False,2,5,2
331,1,3,0,2,3,False,4,1,2
332,0,1,1,3,1,True,4,4,3
333,0,1,1,3,2,False,2,2,3
334,0,3,1,3,3,False,4,5,3
335,1,1,0,3,2,False,2,1,4
336,0,3,1,3,1,True,1,1,3
337,0,1,1,3,2,False,2,2,3
338,1,1,0,1,1,True,2,4,2
339,1,3,1,3,1,True,3,4,3
340,0,1,1,3,1,True,2,4,3
341,1,2,1,3,3,False,4,5,1
342,1,1,0,3,6,False,2,3,2
343,0,2,1,3,1,True,3,3,3
344,0,2,1,3,1,True,3,3,3
345,0,2,1,3,1,True,3,2,3
346,1,2,0,3,1,True,3,3,2
347,1,2,0,3,1,True,3,4,2
348,1,3,0,3,2,False,4,1,4
349,1,3,1,3,3,False,4,5,1
350,0,3,1,3,1,True,3,4,3
351,0,3,1,3,1,True,3,1,3
352,0,1,1,3,1,True,2,1,3
353,0,3,1,1,3,False,1,5,3
354,0,3,1,3,2,False,4,3,3
355,0,3,1,1,1,True,1,1,3
356,0,3,1,3,1,True,3,3,3
357,1,1,0,3,2,False,2,1,2
358,0,2,0,3,1,True,3,2,2
359,1,3,0,2,1,True,1,1,2
360,1,3,0,2,1,True,1,1,2
361,0,3,1,3,6,False,4,4,3
362,0,2,1,1,2,False,4,2,3
363,0,3,0,1,2,False,3,4,4
364,0,3,1,3,1,True,1,2,3
365,0,3,1,2,2,False,4,1,3
366,0,3,1,3,1,True,1,2,3
367,1,1,0,1,2,False,2,4,4
368,1,3,0,1,1,True,1,1,4
369,1,3,0,2,1,True,1,1,2
370,1,1,0,1,1,True,2,3,5
371,1,1,1,1,2,False,2,3,3
372,0,3,1,3,2,False,1,5,3
373,0,3,1,3,1,True,3,5,3
374,0,1,1,1,1,True,2,1,3
375,0,3,0,3,5,False,4,5,2
376,1,1,0,1,2,False,2,1,4
377,1,3,0,3,1,True,1,1,2
378,0,1,1,1,3,False,2,3,3
379,0,3,1,1,1,True,1,5,3
380,0,3,1,3,1,True,1,5,3
381,1,1,0,1,1,True,2,4,2
382,1,3,0,1,3,False,4,5,2
383,0,3,1,3,1,True,3,2,3
384,1,1,0,3,2,False,2,2,4
385,0,3,1,3,1,True,1,1,3
386,0,2,1,3,1,True,2,5,3
387,0,3,1,3,8,False,2,5,1
388,1,2,0,3,1,True,3,2,2
389,0,3,1,2,1,True,1,1,3
390,1,2,0,1,1,True,3,5,2
391,1,1,1,3,4,False,2,2,3
392,1,3,1,3,1,True,1,1,3
393,0,3,1,3,3,False,3,3,3
394,1,1,0,1,2,False,2,1,2
395,1,3,0,3,3,False,4,3,4
396,0,3,1,3,1,True,1,1,3
397,0,3,0,3,1,True,1,2,2
398,0,2,1,3,1,True,4,4,3
399,0,2,1,3,1,True,3,1,5
400,1,2,0,3,1,True,3,3,4
401,1,3,1,3,1,True,3,4,3
402,0,3,1,3,1,True,3,3,3
403,0,3,0,3,2,False,3,1,2
404,0,3,1,3,2,False,4,3,3
405,0,3,0,3,1,True,3,5,2
406,0,2,1,3,2,False,4,2,3
407,0,3,1,3,1,True,1,4,3
408,1,2,1,3,3,False,4,5,1
409,0,3,1,3,1,True,1,1,3
410,0,3,0,3,5,False,4,1,2
411,0,3,1,3,1,True,1,1,3
412,0,3,1,2,1,True,1,1,3
413,1,1,0,2,2,False,2,2,2
414,0,2,1,3,1,True,1,1,3
415,1,3,1,3,1,True,3,4,3
416,0,3,0,3,1,True,3,1,4
417,1,2,0,3,3,False,2,2,4
418,1,2,0,3,3,False,3,5,2
419,0,2,1,3,1,True,3,2,3
420,0,3,0,3,3,False,4,5,2
421,0,3,1,1,1,True,1,1,3
422,0,3,1,2,1,True,1,1,3
423,0,3,1,3,1,True,1,2,3
424,0,3,0,3,3,False,3,3,4
425,0,3,1,3,3,False,4,5,3
426,0,3,1,3,1,True,1,1,3
427,1,2,0,3,2,False,4,3,4
428,1,2,0,3,1,True,4,5,2
429,0,3,1,2,1,True,1,1,3
430,1,3,1,3,1,True,3,2,3
431,1,1,1,3,1,True,4,3,3
432,1,3,0,3,2,False,4,1,4
433,1,2,0,3,2,False,4,4,4
434,0,3,1,3,1,True,1,5,3
435,0,1,1,3,2,False,2,4,3
436,1,1,0,3,4,False,2,5,2
437,0,3,0,3,5,False,2,1,2
438,1,2,0,3,6,False,4,3,4
439,0,1,1,3,6,False,2,4,3
440,0,2,1,3,1,True,3,2,3
441,1,2,0,3,3,False,4,4,4
442,0,3,1,3,1,True,3,5,3
443,0,3,1,3,2,False,1,3,3
444,1,2,0,3,1,True,3,3,5
445,1,3,1,3,1,True,3,1,3
446,1,1,1,3,3,False,2,5,1
447,1,2,0,3,2,False,4,5,2
448,1,1,1,3,1,True,4,2,3
449,1,3,0,1,4,False,4,5,2
450,1,1,1,3,1,True,4,4,5
451,0,2,1,3,4,False,4,2,3
452,0,3,1,3,2,False,4,1,3
453,0,1,1,1,1,True,4,2,3
454,1,1,1,1,2,False,2,4,3
455,0,3,1,3,1,True,3,1,3
456,1,3,1,1,1,True,1,2,3
457,0,1,1,3,1,True,4,4,3
458,1,1,0,3,2,False,2,1,4
459,1,2,0,3,1,True,3,4,2
460,0,3,1,2,1,True,1,1,3
461,1,1,1,3,1,True,4,4,3
462,0,3,1,3,1,True,3,2,3
463,0,1,1,3,1,True,2,4,3
464,0,2,1,3,1,True,3,4,3
465,0,3,1,3,1,True,3,1,3
466,0,3,1,3,1,True,1,2,3
467,0,2,1,3,1,True,1,1,3
468,0,1,1,3,1,True,4,4,3
469,0,3,1,2,1,True,1,1,3
470,1,3,0,1,4,False,4,5,2
471,0,3,1,3,1,True,1,1,3
472,0,3,1,3,1,True,3,2,3
473,1,2,0,3,4,False,4,2,4
474,1,2,0,1,1,True,3,1,4
475,0,3,0,3,1,True,3,1,2
476,0,1,1,3,1,True,2,1,3
477,0,2,1,3,2,False,4,2,3
478,0,3,1,3,2,False,1,2,3
479,0,3,1,3,1,True,1,1,3
480,1,3,0,3,2,False,3,5,2
481,0,3,1,3,8,False,2,5,1
482,0,2,1,3,1,True,1,1,3
483,0,3,1,3,1,True,3,4,3
484,1,3,0,3,1,True,3,4,4
485,1,1,1,1,2,False,2,3,3
486,0,3,0,3,5,False,4,1,2
487,1,1,0,3,2,False,2,2,4
488,0,1,1,1,1,True,4,4,3
489,0,3,1,3,1,True,3,2,3
490,1,3,1,3,3,False,4,5,1
491,0,3,1,3,2,False,4,1,3
492,0,3,1,3,1,True,1,1,3
493,0,1,1,3,1,True,4,4,3
494,0,1,1,1,1,True,2,4,3
495,0,3,1,3,1,True,3,1,3
496,0,3,1,1,1,True,4,1,3
497,1,1,0,1,2,False,2,4,2
498,0,3,1,3,1,True,4,1,3
499,0,1,0,3,4,False,2,3,4
500,0,3,1,3,1,True,1,3,3
501,0,3,1,3,1,True,3,5,3
502,0,3,0,2,1,True,1,1,2
503,0,3,0,2,1,True,1,1,2
504,0,3,0,3,1,True,3,2,2
505,1,1,0,3,1,True,2,5,2
506,0,1,1,1,2,False,2,5,3
507,1,2,0,3,3,False,4,2,4
508,1,1,1,3,1,True,4,1,3
509,0,3,1,3,1,True,4,3,3
510,1,3,1,3,1,True,2,3,3
511,1,3,1,2,1,True,1,2,3
512,0,3,1,3,1,True,3,1,3
513,1,1,1,3,1,True,4,2,3
514,1,1,0,1,2,False,2,4,4
515,0,3,1,3,1,True,1,3,3
516,0,1,1,3,1,True,2,4,3
517,1,2,0,3,1,True,3,2,4
518,0,3,1,2,1,True,4,1,3
519,1,2,0,3,2,False,4,2,4
520,0,3,1,3,1,True,1,2,3
521,1,1,0,3,1,True,2,2,2
522,0,3,1,3,1,True,1,1,3
523,0,3,1,1,1,True,1,1,3
524,1,1,0,1,2,False,2,4,4
525,0,3,1,1,1,True,1,1,3
526,0,3,1,2,1,True,1,4,3
527,1,2,0,3,1,True,3,4,2
528,0,1,1,3,1,True,2,1,3
529,0,3,1,3,1,True,3,4,3
530,0,2,1,3,4,False,3,1,3
531,1,2,0,3,3,False,4,5,2
532,0,3,1,1,1,True,1,1,3
533,0,3,1,1,3,False,1,5,3
534,1,3,0,1,3,False,4,1,4
535,0,3,0,3,1,True,3,2,2
536,1,2,0,3,3,False,4,5,2
537,0,1,1,3,1,True,4,4,5
538,1,1,0,1,1,True,2,2,2
539,0,3,1,3,1,True,4,1,3
540,1,1,0,1,3,False,2,1,2
541,1,1,0,3,3,False,2,2,2
542,0,3,0,3,7,False,2,5,2
543,0,3,0,3,7,False,2,5,2
544,1,2,1,3,2,False,4,2,3
545,0,1,1,1,2,False,2,4,3
546,0,1,1,3,1,True,4,4,3
547,1,2,0,3,2,False,4,5,4
548,1,2,1,1,1,True,3,1,3
549,0,3,1,3,3,False,4,2,3
550,1,2,1,3,3,False,2,5,1
551,1,1,1,1,3,False,2,5,3
552,0,2,1,3,1,True,4,3,3
553,0,3,1,2,1,True,1,1,3
554,1,3,1,1,1,True,1,1,3
555,1,3,0,3,1,True,1,1,2
556,0,1,1,3,1,True,4,4,3
557,1,1,0,1,2,False,2,4,5
558,0,1,1,1,1,True,2,1,3
559,1,1,0,3,3,False,2,4,4
560,1,3,0,3,2,False,4,2,4
561,0,3,1,2,1,True,1,1,3
562,0,3,1,3,1,True,1,4,3
563,0,2,1,3,1,True,3,3,3
564,0,3,1,3,1,True,3,1,3
565,0,3,0,3,1,True,3,1,2
566,0,3,1,3,3,False,4,3,3
567,0,3,1,3,1,True,1,5,3
568,0,3,0,3,5,False,4,2,4
569,0,3,1,1,1,True,1,1,3
570,1,3,1,3,1,True,1,2,3
571,1,2,1,3,1,True,3,4,3
572,1,1,0,3,3,False,2,4,4
573,1,1,1,3,1,True,4,2,3
574,1,3,0,2,1,True,1,1,2
575,0,3,1,3,1,True,3,5,3
576,0,3,1,3,1,True,4,5,3
577,1,2,0,3,1,True,3,2,2
578,1,1,0,3,2,False,2,4,4
579,0,3,0,1,2,False,4,1,4
580,1,3,1,3,1,True,3,2,3
581,1,2,0,3,3,False,4,3,2
582,1,1,0,1,3,False,2,4,4
583,0,2,1,3,1,True,4,4,3
584,0,1,1,1,1,True,2,2,3
585,0,3,1,1,1,True,3,1,3
586,1,1,0,3,3,False,2,5,2
587,0,2,1,3,1,True,4,4,3
588,1,1,1,1,3,False,2,4,3
589,0,3,1,3,1,True,3,1,3
590,0,3,1,3,1,True,3,1,3
591,0,3,1,3,1,True,1,2,3
592,1,1,0,1,2,False,2,4,4
593,0,3,1,3,1,True,1,4,3
594,0,3,0,2,3,False,1,1,2
595,0,2,1,3,2,False,4,2,3
596,0,3,1,3,3,False,4,2,3
597,1,2,0,3,1,True,2,1,2
598,0,3,1,3,1,True,1,4,3
599,0,3,1,1,1,True,1,1,3
600,1,1,1,1,2,False,2,4,5
601,1,2,0,3,4,False,4,3,4
602,0,3,1,3,1,True,1,1,3
603,0,1,1,3,1,True,2,1,3
604,0,3,1,3,1,True,3,4,3
605,1,1,1,1,1,True,4,2,3
606,0,3,1,3,2,False,4,2,3
607,0,3,1,3,1,True,1,2,3
608,1,1,1,3,1,True,4,3,3
609,1,2,0,1,4,False,2,1,4
610,1,1,0,3,1,True,2,4,2
611,0,3,0,3,7,False,2,4,4
612,0,3,1,3,1,True,1,1,3
613,1,3,0,2,2,False,4,1,2
614,0,3,1,2,1,True,1,1,3
615,0,3,1,3,1,True,3,2,3
616,1,2,0,3,4,False,2,3,2
617,0,3,1,3,3,False,3,2,3
618,0,3,0,3,2,False,4,3,4
619,1,2,0,3,4,False,2,5,2
620,0,2,1,3,1,True,3,3,3
621,0,3,1,1,2,False,3,3,3
622,1,1,1,3,2,False,2,4,3
623,1,3,1,1,3,False,4,5,3
624,0,3,1,3,1,True,1,1,3
625,0,3,1,3,1,True,4,1,3
626,0,1,1,3,1,True,2,4,3
627,0,2,1,2,1,True,3,4,5
628,1,1,0,3,1,True,2,1,2
629,0,3,1,3,1,True,1,3,3
630,0,3,1,2,1,True,1,1,3
631,1,1,1,3,1,True,4,4,3
632,0,3,1,3,1,True,1,4,3
633,1,1,1,1,1,True,4,2,5
634,0,1,1,3,1,True,1,1,3
635,0,3,0,3,6,False,4,5,2
636,1,2,0,3,1,True,3,3,2
637,0,3,1,3,1,True,3,2,3
638,0,2,1,3,3,False,4,2,3
639,0,3,0,3,6,False,2,4,4
640,0,3,1,3,2,False,4,1,3
641,0,3,1,3,1,True,1,5,3
642,1,1,0,1,1,True,2,3,5
643,0,3,0,3,6,False,4,5,2
644,1,3,1,3,1,True,2,1,3
645,1,3,0,1,4,False,4,5,2
646,1,1,1,1,2,False,2,4,3
647,0,3,1,3,1,True,1,5,3
648,1,1,1,1,1,True,2,4,5
649,0,3,1,3,1,True,1,1,3
650,1,3,0,3,1,True,1,1,2
651,0,3,1,3,1,True,1,1,3
652,1,2,0,3,2,False,4,5,2
653,0,3,1,3,1,True,3,1,3
654,1,3,0,2,1,True,1,1,2
655,0,3,0,2,1,True,1,5,2
656,0,2,1,3,3,False,2,3,3
657,0,3,1,3,1,True,1,1,3
658,0,3,0,2,3,False,4,2,4
659,0,2,1,3,1,True,3,1,3
660,0,1,1,1,3,False,2,4,3
661,1,1,1,3,3,False,2,4,5
662,0,3,1,1,1,True,1,4,3
663,0,1,1,3,1,True,4,4,3
664,0,3,1,3,1,True,1,2,3
665,1,3,1,3,2,False,3,5,3
666,0,2,1,3,3,False,2,2,3
667,0,2,1,3,1,True,3,3,3
668,0,3,1,3,1,True,1,1,3
669,0,3,1,3,1,True,3,4,3
670,1,1,0,3,2,False,2,1,4
671,1,2,0,3,3,False,2,4,4
672,0,1,1,3,2,False,2,2,3
673,0,2,1,3,1,True,3,4,3
674,1,2,1,3,1,True,3,2,3
675,0,2,1,3,1,True,1,1,3
676,0,3,1,3,1,True,1,5,3
677,0,3,1,3,1,True,3,3,3
678,1,3,0,3,1,True,3,5,2
679,0,3,0,3,8,False,2,4,4
680,1,1,1,1,2,False,2,2,3
681,0,3,0,2,1,True,3,1,2
682,1,1,1,1,1,True,2,3,3
683,0,3,1,3,1,True,3,5,3
684,0,3,1,3,8,False,2,5,3
685,0,2,1,3,3,False,2,4,3
686,0,2,1,1,4,False,2,3,3
687,0,3,1,3,6,False,2,5,3
688,0,3,1,3,1,True,3,5,3
689,0,3,1,3,1,True,1,5,3
690,1,1,0,3,2,False,2,5,2
691,1,1,1,3,2,False,2,2,3
692,1,3,0,1,2,False,3,5,2
693,1,3,1,3,1,True,2,1,3
694,0,3,1,1,1,True,1,3,3
